Object Type,Object Name,en-US,hi-IN
Table,Customers,Customers,ग्राहकों
Column,Customers[City Name],City Name,शहर का नाम
Column,Customers[Birth Date],Birth Date,जन्म तिथि
Column,Customers[Customer],Customer,ख़रीदार
Column,Customers[City],City,शहर
Column,Customers[Age],Age,उम्र
Column,Customers[Flag],Flag,झंडा
Table,Sales,Sales,बिक्री
Measure,Sales[Sales Revenue],Sales Revenue,बिक्री राजस्व
Measure,Sales[Units Sold],Units Sold,बेची गई इकाइयां
Measure,Sales[Customer Count],Customer Count,ग्राहकों की गिनती
Measure,Sales[Order Count],Order Count,ऑर्डर काउंट
Measure,Sales[Product Rank],Product Rank,उत्पाद रैंक
Measure,Sales[Customer Rank],Customer Rank,ग्राहक रैंक
Table,Calendar,Calendar,कैलेंडर
Column,Calendar[Date],Date,खजूर
Column,Calendar[Year],Year,सालों
Column,Calendar[Quarter],Quarter,चौथाई पाउंड
Column,Calendar[Month],Month,महीना
Measure,Localized Labels[Sales by Product],Sales by Product,उत्पाद द्वारा बिक्री
Measure,Localized Labels[Home],Home,को
Measure,Localized Labels[Sales by Country],Sales by Country,देश द्वारा बिक्री
Measure,Localized Labels[European Sales Report],European Sales Report,यूरोपीय बिक्री रिपोर्ट
Measure,Localized Labels[Top 5 Products],Top 5 Products,शीर्ष 5 उत्पाद
Measure,Localized Labels[Filter by Country],Filter by Country,देश के अकांम से फ़िल्टर करें
Measure,Localized Labels[Top 10 Customers],Top 10 Customers,शीर्ष 10 ग्राहक
Measure,Localized Labels[Sales by Category],Sales by Category,श्रेणी के अकांन से बिक्री
Measure,Localized Labels[Sales by City],Sales by City,शहर द्वारा बिक्री
Measure,Localized Labels[Power BI],Power BI,पावर बीआई
Measure,Localized Labels[Dev Camp],Dev Camp,देव शिविर
Measure,Localized Labels[Set Country Filter],Set Country Filter,सेट कंट्री फ़िल्टर
Measure,Localized Labels[Set Product Filter],Set Product Filter,उत्पाद फ़िल्टर सेट करें
Measure,Localized Labels[User Culture],User Culture,उपयोगकर्ता संस्कृति
Table,Products,Products,उत्पादों
Column,Products[LanguageTag],LanguageTag,लैंग्वेजटैग
Column,Products[Product],Product,गुणनफल
Column,Products[Category],Category,कोटि
Column,Products[Price],Price,दाम
Column,Products[Image],Image,प्रतिबिंब
Table,Countries,Countries,देशों
Column,Countries[LanguageTag],LanguageTag,लैंग्वेजटैग
Column,Countries[Country],Country,भूक्षेत्र
Column,Countries[Flag],Flag,झंडा
