Label,en,es,fr,de,pt,nl,ru,he,ja
Sales by Product,Sales by Product,Ventas Por Producto,Ventes Par Produit,Umsatz Nach Produkten,Vendas Por Produto,Verkoop Per Product,Продажи По Продуктам,מכירות לפי מוצר,製品別売上
Home,Home,Hogar,Domicile,Heim,Casa,Thuis,Дом,הביתה,家
Sales by Country,Sales by Country,Ventas Por País,Ventes Par Pays,Umsatz Nach Ländern,Vendas Por País,Verkoop Per Land,Продажи По Странам,מכירות לפי מדינה,国別売上高
Report Title,European Sales Report,Título Del Informe,Titre Du Rapport,Titel Des Berichts,Título Do Relatório,Titel Van Het Rapport,Название Отчета,כותרת הדוח,レポート タイトル
Top 5 Products,Top 5 Products,Top 5 Productos,Top 5 Des Produits,Top 5 Produkte,Top 5 Produtos,Top 5 Producten,Топ 5 Товаров,5 המוצרים המובילים,トップ5製品
Filter by Country,Filter by Country,Filtrar Por País,Filtrer Par Pays,Filtern Nach Land,Filtro Por País,Filteren Op Land,Фильтр По Странам,סנן לפי מדינה,国で絞り込む
Top 10 Customers,Top 10 Customers,Top 10 Clientes,Top 10 Des Clients,Top 10 Kunden,Top 10 Clientes,Top 10 Klanten,Топ 10 Клиентов,10 הלקוחות המובילים,上位 10 社の顧客
Dev Camp,Dev Camp,Campamento De Desarrollo,Camp De Développement,Entwicklercamp,Campo De Dev,Ontwikkelkamp,Лагерь Разработчиков,מחנה פיתוח,開発キャンプ
Sales by Category,Sales by Category,Ventas Por Categoría,Ventes Par Catégorie,Umsatz Nach Kategorie,Vendas Por Categoria,Verkoop Per Categorie,Продажи По Категориям,מכירות לפי קטגוריה,カテゴリー別売上
Sales by City,Sales by City,Ventas Por Ciudad,Ventes Par Ville,Umsatz Nach Städten,Vendas Por Cidade,Verkoop Per Stad,Продажи По Городам,מכירות לפי עיר,都市別売上高
Power BI,Power BI,Power BI,Power BI,Power BI,Power BI,Power BI,Power BI,Power BI,パワービック
UserCulture,UserCulture,Userculture,Culture De L’Utilisateur,Benutzerkultur,Cultura Do Utilizador,Usercultuur,Пользователькультура,תרבות משתמשים,ユーザーカルチャー
Set Country,Set Country,Establecer País,Définir Le Pays,Land Festlegen,Definir País,Land Instellen,Установить Страну,הגדר מדינה,国を設定
Set Product Filter,Set Product Filter,Establecer Filtro De Producto,Définir Le Filtre De Produit,Produktfilter Einstellen,Definir Filtro De Produto,Productfilter Instellen,Настройка Фильтра Продуктов,הגדר מסנן מוצרים,製品フィルターの設定
