en-US,es-ES,fr-FR,de-DE,nl-NL,ru-RU,he-IL,ja-JP,zh-CN
Afghanistan,Afganistán,Afghanistan,Afghanistan,Afghanistan,Афганистан,אפגניסטן,アフガニスタン,阿富汗
Albania,Albania,Albanie,Albanien,Albanië,Албания,אלבניה,アルバニア,阿尔巴尼亚
Algeria,Argelia,Algérie,Algerien,Algerije,Алжир,אלג\'יריה,アルジェリア,阿尔及利亚
Angola,Angola,Angola,Angola,Angola,Ангола,אנגולה,アンゴラ,安哥拉
Antigua And Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,Antigua und Barbuda,Antigua en Barbuda,Антигуа и Барбуда,אנטיגואה וברבודה,アンティグア・バーブーダ,安提瓜和巴布达
Argentina,Argentina,Argentine,Argentinien,Argentinië,Аргентина,ארגנטינה,アルゼンチン,阿根廷
Armenia,Armenia,Arménie,Armenien,Armenië,Армения,ארמניה,アルメニア,亚美尼亚
Aruba,Aruba,Aruba,Aruba,Aruba,Аруба,ארובה,アルバ,阿鲁巴岛
Australia,Australia,Australie,Australien,Australië,Австралия,אוסטרליה,オーストラリア,澳大利亚
Austria,Austria,Autriche,Österreich,Oostenrijk,Австрия,אוסטריה,オーストリア,奥地利
Azerbaijan,Azerbaiyán,Azerbaïdjan,Aserbaidschan,Azerbeidzjan,Азербайджан,אזרבייג\'ן,アゼルバイジャン,阿塞拜疆
Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Багамские Острова,בהאמה,バハマ,巴哈马
Bahrain,Bahrein,Bahreïn,Bahrain,Bahrein,Бахрейн,בחריין,バーレーン,巴林
Bangladesh,Bangladesh,Bangladesh,Bangladesch,Bangladesh,Бангладеш,בנגלדש,バングラデシュ,孟加拉国
Barbados,Barbados,Barbade,Barbados,Barbados,Барбадос,ברבדוס,バルバドス,巴巴多斯
Belarus,Bielorrusia,Biélorussie,Belarus,Wit-Rusland,Беларусь,בלרוס,ベラルーシ,白俄罗斯
Belgium,Bélgica,Belgique,Belgien,België,Бельгия,בלגיה,ベルギー,比利时
Belize,Belice,Belize,Belize,Belize,Белиз,בליז,ベリーズ,伯利兹
Benin,Benin,Bénin,Benin,Benin,Бенин,בנין,ベナン,贝宁
